main_run	main_report	main_family	baseline_run	baseline_report	profile	seed	scenario	main_rmse	baseline_rmse	rmse_delta	main_r2	baseline_r2	r2_delta	main_ungated_retained	baseline_ungated_retained	ungated_retained_delta
v2_fc_main_seed13	reports/v2_fc_main_seed13/reliability_report.json	main	v2_fc_baseline_det_seed13	reports/v2_fc_baseline_det_seed13/reliability_report.json	human	13.0000	test_ood/sensor_delay	0.2963	0.3053	-0.0090	0.5938	0.5687	0.0251	0.6737	0.7053	-0.0316
v2_fc_main_seed13	reports/v2_fc_main_seed13/reliability_report.json	main	v2_fc_baseline_det_seed13	reports/v2_fc_baseline_det_seed13/reliability_report.json	human	13.0000	test_ood/sensor_delay_jitter	0.2957	0.3017	-0.0059	0.5954	0.5790	0.0164	0.6725	0.7047	-0.0322
v2_fc_main_seed23	reports/v2_fc_main_seed23/reliability_report.json	main	v2_fc_baseline_det_seed23	reports/v2_fc_baseline_det_seed23/reliability_report.json	human	23.0000	test_id/clean	0.1744	0.1609	0.0134	0.7649	0.7998	-0.0348	0.7899	0.8448	-0.0549
v2_fc_main_seed23	reports/v2_fc_main_seed23/reliability_report.json	main	v2_fc_baseline_det_seed23	reports/v2_fc_baseline_det_seed23/reliability_report.json	human	23.0000	test_ood/clean	0.2550	0.2299	0.0251	0.6992	0.7554	-0.0563	0.7030	0.7984	-0.0954
v2_fc_main_seed23	reports/v2_fc_main_seed23/reliability_report.json	main	v2_fc_baseline_det_seed23	reports/v2_fc_baseline_det_seed23/reliability_report.json	human	23.0000	test_id/insole_missing	0.1975	0.2646	-0.0670	0.6984	0.4589	0.2395	0.6779	0.4084	0.2695
v2_fc_main_seed23	reports/v2_fc_main_seed23/reliability_report.json	main	v2_fc_baseline_det_seed23	reports/v2_fc_baseline_det_seed23/reliability_report.json	human	23.0000	test_id/encoder_dropout	0.2133	0.3025	-0.0892	0.6484	0.2928	0.3556	0.7357	0.3810	0.3547
v2_fc_main_seed23	reports/v2_fc_main_seed23/reliability_report.json	main	v2_fc_baseline_det_seed23	reports/v2_fc_baseline_det_seed23/reliability_report.json	human	23.0000	test_id/imu_bias	0.1766	0.1613	0.0153	0.7589	0.7988	-0.0399	0.7717	0.8262	-0.0545
v2_fc_main_seed23	reports/v2_fc_main_seed23/reliability_report.json	main	v2_fc_baseline_det_seed23	reports/v2_fc_baseline_det_seed23/reliability_report.json	human	23.0000	test_id/packet_loss	0.1747	0.1614	0.0132	0.7642	0.7985	-0.0344	0.7893	0.8439	-0.0547
v2_fc_main_seed23	reports/v2_fc_main_seed23/reliability_report.json	main	v2_fc_baseline_det_seed23	reports/v2_fc_baseline_det_seed23/reliability_report.json	human	23.0000	test_id/stuck_imu	0.1817	0.1949	-0.0132	0.7449	0.7063	0.0385	0.7554	0.7238	0.0316
v2_fc_main_seed23	reports/v2_fc_main_seed23/reliability_report.json	main	v2_fc_baseline_det_seed23	reports/v2_fc_baseline_det_seed23/reliability_report.json	human	23.0000	test_id/packet_loss_burst	0.1758	0.1632	0.0126	0.7609	0.7940	-0.0330	0.7880	0.8424	-0.0544
v2_fc_main_seed23	reports/v2_fc_main_seed23/reliability_report.json	main	v2_fc_baseline_det_seed23	reports/v2_fc_baseline_det_seed23/reliability_report.json	human	23.0000	test_id/packet_loss_partial	0.1746	0.1613	0.0133	0.7644	0.7989	-0.0345	0.7895	0.8442	-0.0547
v2_fc_main_seed23	reports/v2_fc_main_seed23/reliability_report.json	main	v2_fc_baseline_det_seed23	reports/v2_fc_baseline_det_seed23/reliability_report.json	human	23.0000	test_id/sensor_delay	0.2038	0.2530	-0.0492	0.6789	0.5050	0.1739	0.7341	0.7228	0.0113
v2_fc_main_seed23	reports/v2_fc_main_seed23/reliability_report.json	main	v2_fc_baseline_det_seed23	reports/v2_fc_baseline_det_seed23/reliability_report.json	human	23.0000	test_id/sensor_delay_jitter	0.2079	0.2529	-0.0450	0.6658	0.5055	0.1603	0.7351	0.7204	0.0147
v2_fc_main_seed23	reports/v2_fc_main_seed23/reliability_report.json	main	v2_fc_baseline_det_seed23	reports/v2_fc_baseline_det_seed23/reliability_report.json	human	23.0000	test_ood/insole_missing	0.2899	0.3664	-0.0765	0.6113	0.3790	0.2323	0.5551	0.3173	0.2378
v2_fc_main_seed23	reports/v2_fc_main_seed23/reliability_report.json	main	v2_fc_baseline_det_seed23	reports/v2_fc_baseline_det_seed23/reliability_report.json	human	23.0000	test_ood/encoder_dropout	0.3584	0.4421	-0.0837	0.4058	0.0957	0.3101	0.4639	0.2502	0.2137
v2_fc_main_seed23	reports/v2_fc_main_seed23/reliability_report.json	main	v2_fc_baseline_det_seed23	reports/v2_fc_baseline_det_seed23/reliability_report.json	human	23.0000	test_ood/imu_bias	0.2571	0.2320	0.0252	0.6941	0.7510	-0.0569	0.6797	0.7737	-0.0940
v2_fc_main_seed23	reports/v2_fc_main_seed23/reliability_report.json	main	v2_fc_baseline_det_seed23	reports/v2_fc_baseline_det_seed23/reliability_report.json	human	23.0000	test_ood/packet_loss	0.2554	0.2303	0.0251	0.6983	0.7546	-0.0563	0.7027	0.7979	-0.0952
v2_fc_main_seed23	reports/v2_fc_main_seed23/reliability_report.json	main	v2_fc_baseline_det_seed23	reports/v2_fc_baseline_det_seed23/reliability_report.json	human	23.0000	test_ood/stuck_imu	0.2572	0.2409	0.0163	0.6939	0.7314	-0.0376	0.6923	0.7822	-0.0898
v2_fc_main_seed23	reports/v2_fc_main_seed23/reliability_report.json	main	v2_fc_baseline_det_seed23	reports/v2_fc_baseline_det_seed23/reliability_report.json	human	23.0000	test_ood/packet_loss_burst	0.2561	0.2313	0.0248	0.6966	0.7524	-0.0558	0.7013	0.7969	-0.0956
v2_fc_main_seed23	reports/v2_fc_main_seed23/reliability_report.json	main	v2_fc_baseline_det_seed23	reports/v2_fc_baseline_det_seed23/reliability_report.json	human	23.0000	test_ood/packet_loss_partial	0.2553	0.2303	0.0250	0.6984	0.7546	-0.0562	0.7028	0.7982	-0.0954
v2_fc_main_seed23	reports/v2_fc_main_seed23/reliability_report.json	main	v2_fc_baseline_det_seed23	reports/v2_fc_baseline_det_seed23/reliability_report.json	human	23.0000	test_ood/sensor_delay	0.2918	0.3013	-0.0095	0.6060	0.5799	0.0261	0.6597	0.7343	-0.0746
