training_mode	profile	detector	n	auroc_mean	auroc_std	auroc_online_mean	auroc_online_std	best_signal_auroc_mean	best_signal_auroc_std	auroc_logit_mean	auroc_logit_std	auroc_aleatoric_mean	auroc_aleatoric_std	auroc_residual_mean	auroc_residual_std	auroc_forecast_mean	auroc_forecast_std	auroc_epistemic_mean	auroc_epistemic_std	auroc_staleness_mean	auroc_staleness_std	auroc_coherence_mean	auroc_coherence_std	auroc_drift_mean	auroc_drift_std
prob_aug_recon_fc	human	fault_detection/train/insole_missing	3.0000	0.9011	0.0182	0.9119	0.0144	0.9048	0.0210	0.4760	0.0410	0.4606	0.0411	0.9048	0.0210	0.8816	0.0192	0.4406	0.0115	0.8027	0.0004	0.5000	0.0000	0.3676	0.0016
prob_aug_recon_fc	human	fault_detection/train/packet_loss	3.0000	0.8533	0.0029	0.8680	0.0026	0.9123	0.0002	0.4997	0.0000	0.5001	0.0000	0.5006	0.0001	0.5082	0.0015	0.4992	0.0021	0.9123	0.0002	0.4748	0.0011	0.5002	0.0001
prob_aug_recon_fc	human	fault_detection/train/packet_loss_burst	3.0000	0.7675	0.0042	0.8386	0.0017	0.8844	0.0011	0.4986	0.0004	0.5010	0.0003	0.5033	0.0005	0.5148	0.0024	0.4999	0.0029	0.8844	0.0011	0.0800	0.0018	0.5028	0.0006
prob_aug_recon_fc	human	fault_detection/train/packet_loss_partial	3.0000	0.8785	0.0027	0.8699	0.0025	0.9988	0.0001	0.4996	0.0001	0.5001	0.0001	0.5012	0.0002	0.5080	0.0016	0.5015	0.0010	0.9142	0.0004	0.9988	0.0001	0.5001	0.0001
prob_aug_recon_fc	human	fault_detection/train/sensor_delay	3.0000	0.8048	0.0065	0.6444	0.0118	0.9374	0.0000	0.4331	0.0112	0.5741	0.0057	0.5986	0.0090	0.5863	0.0072	0.5091	0.0071	0.4987	0.0000	0.9374	0.0000	0.5152	0.0001
prob_aug_recon_fc	human	fault_detection/train/sensor_delay_jitter	3.0000	0.7980	0.0066	0.6487	0.0093	0.9203	0.0023	0.4368	0.0106	0.5751	0.0059	0.6044	0.0090	0.5921	0.0069	0.5108	0.0032	0.4988	0.0002	0.9203	0.0023	0.5160	0.0004
prob_aug_recon_fc	human	fault_detection/train/stuck_imu	3.0000	0.9564	0.0010	0.9561	0.0010	1.0000	0.0000	0.4713	0.0133	0.5482	0.0054	0.6577	0.0077	0.6436	0.0050	0.5170	0.0066	0.9664	0.0002	1.0000	0.0000	0.4871	0.0002
prob_aug_recon_fc	human	fault_detection/val/encoder_dropout	3.0000	0.9204	0.0093	0.9247	0.0079	0.9346	0.0003	0.6121	0.0212	0.5278	0.0139	0.8408	0.0183	0.8255	0.0170	0.5713	0.0200	0.9346	0.0003	0.5000	0.0000	0.4795	0.0004
prob_aug_recon_fc	human	fault_detection/val/imu_bias	3.0000	0.5010	0.0010	0.5040	0.0024	0.5367	0.0055	0.5367	0.0055	0.4559	0.0043	0.5008	0.0029	0.5011	0.0026	0.4830	0.0015	0.5016	0.0000	0.5001	0.0001	0.5139	0.0002
prob_aug_recon_fc	human	fault_detection/val/insole_missing	3.0000	0.8815	0.0199	0.9008	0.0101	0.8931	0.0177	0.5250	0.0479	0.4058	0.0482	0.8931	0.0177	0.8725	0.0169	0.4350	0.0180	0.8631	0.0005	0.5000	0.0000	0.3125	0.0016
prob_aug_recon_fc	human	fault_detection/val/packet_loss	3.0000	0.7696	0.0042	0.8517	0.0014	0.9202	0.0012	0.4996	0.0001	0.5002	0.0001	0.5010	0.0003	0.5095	0.0016	0.5009	0.0059	0.9202	0.0012	0.4784	0.0053	0.5003	0.0005
prob_aug_recon_fc	human	fault_detection/val/packet_loss_burst	3.0000	0.6567	0.0043	0.8275	0.0016	0.8991	0.0008	0.4989	0.0006	0.5004	0.0004	0.5025	0.0002	0.5148	0.0013	0.4959	0.0112	0.8991	0.0008	0.0792	0.0056	0.5049	0.0011
prob_aug_recon_fc	human	fault_detection/val/packet_loss_partial	3.0000	0.8774	0.0034	0.8536	0.0021	0.9997	0.0001	0.4994	0.0002	0.5000	0.0002	0.5015	0.0000	0.5089	0.0011	0.4963	0.0036	0.9227	0.0002	0.9997	0.0001	0.5003	0.0004
prob_aug_recon_fc	human	fault_detection/val/sensor_delay	3.0000	0.8402	0.0059	0.6280	0.0079	0.9529	0.0000	0.4428	0.0124	0.5660	0.0063	0.5945	0.0080	0.5838	0.0068	0.5097	0.0033	0.5009	0.0001	0.9529	0.0000	0.5136	0.0001
prob_aug_recon_fc	human	fault_detection/val/sensor_delay_jitter	3.0000	0.8241	0.0075	0.6340	0.0086	0.9333	0.0081	0.4462	0.0121	0.5651	0.0082	0.6000	0.0107	0.5891	0.0083	0.5187	0.0030	0.5008	0.0004	0.9333	0.0081	0.5131	0.0021
prob_aug_recon_fc	human	fault_detection/val/stuck_imu	3.0000	0.9312	0.0018	0.9306	0.0013	1.0000	0.0000	0.4763	0.0110	0.5468	0.0061	0.6505	0.0047	0.6375	0.0027	0.5229	0.0054	0.9545	0.0001	1.0000	0.0000	0.4880	0.0002
prob_aug_recon_fc	human	ood_detection/clean	3.0000	0.7203	0.0095	0.7768	0.0098	0.7238	0.0122	0.5364	0.0245	0.7146	0.0244	0.7063	0.0184	0.6922	0.0147	0.7184	0.0185	0.5564	0.0001	0.5623	0.0001	0.6660	0.0001
