run_family	training_mode	profile	scenario	n	our_rmse_mean	our_rmse_std	nature_rmse_mean	nature_rmse_std	rmse_delta_mean	rmse_delta_std	our_r2_mean	our_r2_std	nature_r2_mean	nature_r2_std	r2_delta_mean	r2_delta_std	our_wrong_mean	our_wrong_std	our_ungated_wrong_mean	our_ungated_wrong_std	gate_wrong_delta_mean	gate_wrong_delta_std	nature_wrong_mean	nature_wrong_std	wrong_delta_mean	wrong_delta_std	our_retained_mean	our_retained_std	our_ungated_retained_mean	our_ungated_retained_std	gate_retained_delta_mean	gate_retained_delta_std	gate_retained_ratio_mean	gate_retained_ratio_std	nature_retained_mean	nature_retained_std	retained_delta_mean	retained_delta_std	ungated_retained_delta_mean	ungated_retained_delta_std	mean_gate_mean	mean_gate_std	cl_net_moment_rms_reduction_ratio_mean	cl_net_moment_rms_reduction_ratio_std	cl_abs_work_reduction_ratio_mean	cl_abs_work_reduction_ratio_std	cl_fight_fraction_mean	cl_fight_fraction_std
stress	prob_aug_recon_fc	human	test_ood/sensor_delay@20	3.0000	0.3331	0.0029	0.3473	0.0000	-0.0141	0.0029	0.4865	0.0089	0.4421	0.0000	0.0444	0.0089	0.1169	0.0072	0.1399	0.0108	-0.0230	0.0044	0.1393	0.0000	-0.0224	0.0072	0.5800	0.0126	0.6214	0.0144	-0.0414	0.0020	0.9334	0.0018	0.8966	0.0000	-0.3166	0.0126	-0.2752	0.0144	0.9018	0.0058	0.0789	0.0011	0.0432	0.0001	0.2535	0.0105
stress	prob_aug_recon_fc	human	test_ood/sensor_delay@5	3.0000	0.2696	0.0024	0.2261	0.0000	0.0436	0.0024	0.6636	0.0059	0.7635	0.0000	-0.0999	0.0059	0.0775	0.0061	0.0883	0.0069	-0.0107	0.0009	0.0605	0.0000	0.0170	0.0061	0.6700	0.0124	0.7004	0.0139	-0.0305	0.0020	0.9565	0.0023	1.0416	0.0000	-0.3717	0.0124	-0.3412	0.0139	0.9456	0.0007	0.0939	0.0016	0.0665	0.0011	0.2187	0.0110
stress	prob_aug_recon_fc	human	test_ood/sensor_delay_jitter@10	3.0000	0.2941	0.0039	0.2771	0.0019	0.0170	0.0057	0.5997	0.0105	0.6447	0.0048	-0.0450	0.0153	0.0907	0.0076	0.1055	0.0095	-0.0148	0.0019	0.0896	0.0009	0.0012	0.0077	0.6326	0.0109	0.6717	0.0135	-0.0391	0.0027	0.9418	0.0028	0.9904	0.0034	-0.3579	0.0143	-0.3187	0.0169	0.9277	0.0012	0.0866	0.0008	0.0547	0.0012	0.2344	0.0120
stress	prob_aug_recon_fc	human	test_ood/sensor_delay_jitter@20	3.0000	0.3312	0.0028	0.3421	0.0023	-0.0109	0.0032	0.4923	0.0085	0.4584	0.0074	0.0339	0.0100	0.1145	0.0078	0.1372	0.0120	-0.0227	0.0043	0.1357	0.0006	-0.0211	0.0084	0.5803	0.0127	0.6229	0.0156	-0.0426	0.0029	0.9317	0.0030	0.8992	0.0036	-0.3189	0.0161	-0.2763	0.0190	0.8997	0.0094	0.0792	0.0012	0.0444	0.0010	0.2517	0.0110
stress	prob_aug_recon_fc	human	val/packet_loss@0.05	3.0000	0.1748	0.0017	0.1645	0.0000	0.0103	0.0017	0.7432	0.0049	0.7726	0.0001	-0.0294	0.0050	0.0753	0.0016	0.0771	0.0013	-0.0018	0.0003	0.0739	0.0000	0.0014	0.0015	0.7767	0.0117	0.8158	0.0138	-0.0391	0.0029	0.9520	0.0030	0.9216	0.0001	-0.1449	0.0117	-0.1057	0.0138	0.9715	0.0005	0.0978	0.0010	0.1061	0.0029	0.2054	0.0038
stress	prob_aug_recon_fc	human	val/packet_loss@0.15	3.0000	0.1751	0.0018	0.1653	0.0000	0.0098	0.0018	0.7423	0.0052	0.7705	0.0001	-0.0282	0.0053	0.0754	0.0016	0.0772	0.0013	-0.0018	0.0003	0.0745	0.0001	0.0009	0.0015	0.7744	0.0110	0.8155	0.0139	-0.0411	0.0032	0.9496	0.0032	0.9208	0.0001	-0.1464	0.0110	-0.1052	0.0139	0.9673	0.0010	0.0972	0.0008	0.1052	0.0026	0.2062	0.0038
stress	prob_aug_recon_fc	human	val/packet_loss@0.30	3.0000	0.1758	0.0018	0.1671	0.0000	0.0087	0.0018	0.7403	0.0054	0.7654	0.0001	-0.0251	0.0054	0.0758	0.0018	0.0778	0.0016	-0.0020	0.0003	0.0757	0.0001	0.0001	0.0018	0.7592	0.0093	0.8144	0.0134	-0.0552	0.0041	0.9322	0.0040	0.9189	0.0002	-0.1597	0.0090	-0.1045	0.0132	0.9443	0.0023	0.0949	0.0007	0.1026	0.0024	0.2079	0.0039
stress	prob_aug_recon_fc	human	val/packet_loss_burst@0.05	3.0000	0.1750	0.0017	0.1648	0.0001	0.0102	0.0018	0.7426	0.0049	0.7718	0.0003	-0.0292	0.0052	0.0754	0.0016	0.0772	0.0014	-0.0019	0.0003	0.0742	0.0002	0.0012	0.0016	0.7758	0.0111	0.8157	0.0139	-0.0399	0.0035	0.9511	0.0036	0.9211	0.0002	-0.1453	0.0109	-0.1054	0.0137	0.9706	0.0007	0.0976	0.0010	0.1059	0.0027	0.2056	0.0038
stress	prob_aug_recon_fc	human	val/packet_loss_burst@0.15	3.0000	0.1763	0.0019	0.1677	0.0003	0.0086	0.0016	0.7388	0.0055	0.7637	0.0008	-0.0249	0.0048	0.0765	0.0015	0.0784	0.0014	-0.0020	0.0002	0.0760	0.0003	0.0004	0.0013	0.7611	0.0094	0.8133	0.0134	-0.0523	0.0041	0.9358	0.0040	0.9172	0.0009	-0.1561	0.0085	-0.1039	0.0125	0.9538	0.0022	0.0949	0.0006	0.1027	0.0025	0.2083	0.0038
stress	prob_aug_recon_fc	human	val/packet_loss_partial@0.15	3.0000	0.1750	0.0017	0.1653	0.0000	0.0097	0.0017	0.7425	0.0049	0.7703	0.0001	-0.0278	0.0049	0.0754	0.0016	0.0773	0.0014	-0.0019	0.0003	0.0743	0.0001	0.0011	0.0016	0.7745	0.0104	0.8154	0.0138	-0.0408	0.0037	0.9499	0.0038	0.9205	0.0001	-0.1459	0.0104	-0.1051	0.0138	0.9680	0.0010	0.0973	0.0009	0.1054	0.0027	0.2062	0.0038
stress	prob_aug_recon_fc	human	val/sensor_delay@10	3.0000	0.2066	0.0049	0.2674	0.0000	-0.0608	0.0049	0.6410	0.0171	0.3991	0.0000	0.2419	0.0171	0.0965	0.0034	0.1031	0.0046	-0.0066	0.0013	0.1672	0.0000	-0.0708	0.0034	0.6296	0.0061	0.7627	0.0039	-0.1331	0.0070	0.8255	0.0087	0.7705	0.0000	-0.1408	0.0061	-0.0077	0.0039	0.9160	0.0062	0.0689	0.0018	0.0664	0.0024	0.2541	0.0054
stress	prob_aug_recon_fc	human	val/sensor_delay@20	3.0000	0.2591	0.0045	0.3347	0.0000	-0.0757	0.0045	0.4357	0.0195	0.0583	0.0000	0.3774	0.0195	0.1278	0.0017	0.1494	0.0036	-0.0216	0.0020	0.2770	0.0000	-0.1492	0.0017	0.4989	0.0062	0.7027	0.0042	-0.2038	0.0020	0.7099	0.0045	0.6118	0.0000	-0.1129	0.0062	0.0909	0.0042	0.8520	0.0082	0.0513	0.0013	0.0361	0.0002	0.2896	0.0042
stress	prob_aug_recon_fc	human	val/sensor_delay@5	3.0000	0.1880	0.0034	0.2148	0.0000	-0.0267	0.0034	0.7028	0.0106	0.6124	0.0000	0.0903	0.0106	0.0846	0.0015	0.0876	0.0021	-0.0030	0.0006	0.1138	0.0000	-0.0293	0.0015	0.7250	0.0051	0.7857	0.0087	-0.0606	0.0042	0.9229	0.0045	0.8573	0.0000	-0.1322	0.0051	-0.0716	0.0087	0.9598	0.0027	0.0843	0.0013	0.0889	0.0016	0.2295	0.0041
stress	prob_aug_recon_fc	human	val/sensor_delay_jitter@10	3.0000	0.2121	0.0063	0.2650	0.0010	-0.0529	0.0065	0.6216	0.0224	0.4097	0.0043	0.2119	0.0231	0.0996	0.0032	0.1068	0.0046	-0.0072	0.0014	0.1679	0.0014	-0.0683	0.0021	0.6280	0.0066	0.7605	0.0040	-0.1325	0.0034	0.8258	0.0050	0.7689	0.0016	-0.1410	0.0058	-0.0085	0.0027	0.9132	0.0048	0.0679	0.0012	0.0636	0.0010	0.2541	0.0047
stress	prob_aug_recon_fc	human	val/sensor_delay_jitter@20	3.0000	0.2654	0.0021	0.3337	0.0040	-0.0683	0.0056	0.4081	0.0093	0.0640	0.0222	0.3441	0.0293	0.1371	0.0009	0.1578	0.0034	-0.0207	0.0025	0.2700	0.0058	-0.1329	0.0060	0.5079	0.0086	0.6842	0.0085	-0.1763	0.0078	0.7423	0.0105	0.6251	0.0085	-0.1172	0.0170	0.0591	0.0139	0.8583	0.0080	0.0515	0.0019	0.0362	0.0001	0.2978	0.0049
