run	report	run_family	profile	training_mode	mode	seed	selected_gate_softness	selected_gate_deadband	scenario	policy_source	selected_softness	selected_deadband	met_wrong_budget	wrong_limit	gated_wrong	ungated_wrong	gate_wrong_delta	gated_retained	ungated_retained	gate_retained_delta	gate_retained_ratio	mean_gate	nature_wrong	nature_retained	retained_delta
v2_fc_main_seed13	reports/v2_fc_main_seed13/reliability_report.json	main	human	prob_aug_recon_fc	eval	13.0000	2.0000	1.0373	test_ood/stuck_imu	selected_val_gate	2.0000	1.0373	0.0000	0.0565	0.0747	0.0865	-0.0117	0.6720	0.7169	-0.0449	0.9374	0.9242	0.0465	1.0625	-0.3905
v2_fc_main_seed13	reports/v2_fc_main_seed13/reliability_report.json	main	human	prob_aug_recon_fc	eval	13.0000	2.0000	1.0373	test_ood/packet_loss_burst	selected_val_gate	2.0000	1.0373	0.0000	0.0463	0.0751	0.0832	-0.0081	0.6804	0.7224	-0.0420	0.9419	0.9304	0.0363	1.0817	-0.4013
v2_fc_main_seed13	reports/v2_fc_main_seed13/reliability_report.json	main	human	prob_aug_recon_fc	eval	13.0000	2.0000	1.0373	test_ood/packet_loss_partial	selected_val_gate	2.0000	1.0373	0.0000	0.0453	0.0751	0.0828	-0.0077	0.6943	0.7241	-0.0298	0.9588	0.9475	0.0353	1.0834	-0.3892
v2_fc_main_seed13	reports/v2_fc_main_seed13/reliability_report.json	main	human	prob_aug_recon_fc	eval	13.0000	2.0000	1.0373	test_ood/sensor_delay	selected_val_gate	2.0000	1.0373	1.0000	0.1018	0.0993	0.1154	-0.0161	0.6363	0.6737	-0.0374	0.9445	0.9309	0.0918	0.9873	-0.3510
v2_fc_main_seed13	reports/v2_fc_main_seed13/reliability_report.json	main	human	prob_aug_recon_fc	eval	13.0000	2.0000	1.0373	test_ood/sensor_delay_jitter	selected_val_gate	2.0000	1.0373	1.0000	0.0989	0.0968	0.1140	-0.0172	0.6346	0.6725	-0.0379	0.9436	0.9247	0.0889	0.9867	-0.3521
v2_fc_main_seed23	reports/v2_fc_main_seed23/reliability_report.json	main	human	prob_aug_recon_fc	eval	23.0000	2.0000	1.0414	test_id/clean	selected_val_gate	2.0000	1.0414	0.0000	0.0683	0.0773	0.0778	-0.0005	0.7608	0.7899	-0.0291	0.9631	0.9785	0.0583	0.9625	-0.2017
v2_fc_main_seed23	reports/v2_fc_main_seed23/reliability_report.json	main	human	prob_aug_recon_fc	eval	23.0000	2.0000	1.0414	test_ood/clean	selected_val_gate	2.0000	1.0414	0.0000	0.0450	0.0668	0.0733	-0.0066	0.6757	0.7030	-0.0273	0.9612	0.9503	0.0350	1.0846	-0.4089
v2_fc_main_seed23	reports/v2_fc_main_seed23/reliability_report.json	main	human	prob_aug_recon_fc	eval	23.0000	2.0000	1.0414	test_id/insole_missing	selected_val_gate	2.0000	1.0414	1.0000	0.2116	0.0962	0.1008	-0.0046	0.5192	0.6779	-0.1586	0.7660	0.8678	0.2016	0.4260	0.0933
v2_fc_main_seed23	reports/v2_fc_main_seed23/reliability_report.json	main	human	prob_aug_recon_fc	eval	23.0000	2.0000	1.0414	test_id/encoder_dropout	selected_val_gate	2.0000	1.0414	1.0000	0.1928	0.0928	0.1099	-0.0170	0.4031	0.7357	-0.3327	0.5478	0.7702	0.1828	0.5915	-0.1884
v2_fc_main_seed23	reports/v2_fc_main_seed23/reliability_report.json	main	human	prob_aug_recon_fc	eval	23.0000	2.0000	1.0414	test_id/imu_bias	selected_val_gate	2.0000	1.0414	0.0000	0.0738	0.0791	0.0797	-0.0006	0.7467	0.7717	-0.0250	0.9676	0.9795	0.0638	0.9647	-0.2180
