profile	scenario	n	our_rmse_mean	our_rmse_std	nature_rmse_mean	nature_rmse_std	rmse_delta_mean	rmse_delta_std	our_r2_mean	our_r2_std	nature_r2_mean	nature_r2_std	r2_delta_mean	r2_delta_std	our_wrong_mean	our_wrong_std	our_ungated_wrong_mean	our_ungated_wrong_std	gate_wrong_delta_mean	gate_wrong_delta_std	nature_wrong_mean	nature_wrong_std	wrong_delta_mean	wrong_delta_std	our_retained_mean	our_retained_std	our_ungated_retained_mean	our_ungated_retained_std	gate_retained_delta_mean	gate_retained_delta_std	gate_retained_ratio_mean	gate_retained_ratio_std	nature_retained_mean	nature_retained_std	retained_delta_mean	retained_delta_std	ungated_retained_delta_mean	ungated_retained_delta_std	mean_gate_mean	mean_gate_std	cl_net_moment_rms_reduction_ratio_mean	cl_net_moment_rms_reduction_ratio_std	cl_abs_work_reduction_ratio_mean	cl_abs_work_reduction_ratio_std	cl_fight_fraction_mean	cl_fight_fraction_std
human_desired	test_ood/stuck_imu	1.0000	0.2636	0.0000					0.6785	0.0000					0.0602	0.0000	0.0709	0.0000	-0.0108	0.0000					0.6747	0.0000	0.7200	0.0000	-0.0453	0.0000	0.9370	0.0000							0.9276	0.0000	0.0936	0.0000	0.0692	0.0000	0.1847	0.0000
human_execution	test_id/clean	1.0000	0.1782	0.0000					0.7546	0.0000					0.0834	0.0000	0.0840	0.0000	-0.0005	0.0000					0.7815	0.0000	0.8094	0.0000	-0.0280	0.0000	0.9655	0.0000							0.9780	0.0000	0.1022	0.0000	0.1000	0.0000	0.2116	0.0000
human_execution	test_id/encoder_dropout	1.0000	0.2060	0.0000					0.6720	0.0000					0.0919	0.0000	0.1045	0.0000	-0.0126	0.0000					0.4360	0.0000	0.6900	0.0000	-0.2540	0.0000	0.6319	0.0000							0.8087	0.0000	0.0504	0.0000	0.0491	0.0000	0.2349	0.0000
human_execution	test_id/imu_bias	1.0000	0.1790	0.0000					0.7523	0.0000					0.0823	0.0000	0.0829	0.0000	-0.0006	0.0000					0.7702	0.0000	0.7956	0.0000	-0.0254	0.0000	0.9681	0.0000							0.9787	0.0000	0.1000	0.0000	0.0973	0.0000	0.2139	0.0000
human_execution	test_id/insole_missing	1.0000	0.1891	0.0000					0.7236	0.0000					0.0848	0.0000	0.0891	0.0000	-0.0043	0.0000					0.5836	0.0000	0.7658	0.0000	-0.1822	0.0000	0.7620	0.0000							0.8641	0.0000	0.0719	0.0000	0.0761	0.0000	0.2296	0.0000
human_execution	test_id/packet_loss	1.0000	0.1786	0.0000					0.7534	0.0000					0.0835	0.0000	0.0841	0.0000	-0.0006	0.0000					0.7785	0.0000	0.8087	0.0000	-0.0303	0.0000	0.9626	0.0000							0.9735	0.0000	0.1013	0.0000	0.0989	0.0000	0.2131	0.0000
human_execution	test_id/packet_loss_burst	1.0000	0.1799	0.0000					0.7498	0.0000					0.0839	0.0000	0.0847	0.0000	-0.0008	0.0000					0.7660	0.0000	0.8062	0.0000	-0.0402	0.0000	0.9502	0.0000							0.9591	0.0000	0.0990	0.0000	0.0961	0.0000	0.2153	0.0000
human_execution	test_id/packet_loss_partial	1.0000	0.1785	0.0000					0.7536	0.0000					0.0836	0.0000	0.0842	0.0000	-0.0006	0.0000					0.7811	0.0000	0.8089	0.0000	-0.0278	0.0000	0.9657	0.0000							0.9746	0.0000	0.1018	0.0000	0.0992	0.0000	0.2130	0.0000
human_execution	test_id/sensor_delay	1.0000	0.2149	0.0000					0.6430	0.0000					0.1126	0.0000	0.1151	0.0000	-0.0025	0.0000					0.6808	0.0000	0.7501	0.0000	-0.0693	0.0000	0.9077	0.0000							0.9566	0.0000	0.0736	0.0000	0.0640	0.0000	0.2677	0.0000
human_execution	test_id/sensor_delay_jitter	1.0000	0.2202	0.0000					0.6251	0.0000					0.1161	0.0000	0.1188	0.0000	-0.0027	0.0000					0.6769	0.0000	0.7495	0.0000	-0.0725	0.0000	0.9032	0.0000							0.9524	0.0000	0.0723	0.0000	0.0613	0.0000	0.2688	0.0000
human_execution	test_id/stuck_imu	1.0000	0.1827	0.0000					0.7420	0.0000					0.0833	0.0000	0.0911	0.0000	-0.0078	0.0000					0.6532	0.0000	0.7877	0.0000	-0.1346	0.0000	0.8292	0.0000							0.8696	0.0000	0.0856	0.0000	0.0764	0.0000	0.2250	0.0000
human_execution	test_ood/clean	1.0000	0.2589	0.0000					0.6898	0.0000					0.0764	0.0000	0.0840	0.0000	-0.0076	0.0000					0.7245	0.0000	0.7583	0.0000	-0.0338	0.0000	0.9554	0.0000							0.9495	0.0000	0.1026	0.0000	0.0814	0.0000	0.2121	0.0000
human_execution	test_ood/encoder_dropout	1.0000	0.3287	0.0000					0.5000	0.0000					0.1238	0.0000	0.1357	0.0000	-0.0119	0.0000					0.3340	0.0000	0.5154	0.0000	-0.1814	0.0000	0.6481	0.0000							0.8604	0.0000	0.0414	0.0000	0.0366	0.0000	0.2532	0.0000
