run_family	training_mode	profile	detector	n	auroc_mean	auroc_std	best_signal_auroc_mean	best_signal_auroc_std	auroc_logit_mean	auroc_logit_std	auroc_aleatoric_mean	auroc_aleatoric_std	auroc_residual_mean	auroc_residual_std	auroc_forecast_mean	auroc_forecast_std	auroc_epistemic_mean	auroc_epistemic_std	auroc_staleness_mean	auroc_staleness_std	auroc_coherence_mean	auroc_coherence_std	auroc_drift_mean	auroc_drift_std
ablation	det_aug	human	fault_detection/train/stuck_imu	3.0000	0.9667	0.0003	1.0000	0.0000	0.6148	0.0313	0.4888	0.0821					0.5769	0.0044	0.9661	0.0003	1.0000	0.0000	0.4872	0.0004
ablation	det_aug	human	fault_detection/val/encoder_dropout	3.0000	0.9301	0.0012	0.9548	0.0057	0.9548	0.0057	0.2837	0.3402					0.7215	0.0542	0.9343	0.0004	0.5000	0.0000	0.4791	0.0005
ablation	det_aug	human	fault_detection/val/imu_bias	3.0000	0.5276	0.0155	0.5525	0.0165	0.5467	0.0234	0.4962	0.0599					0.4820	0.0111	0.5014	0.0002	0.5000	0.0000	0.5135	0.0006
ablation	det_aug	human	fault_detection/val/insole_missing	3.0000	0.9181	0.0147	0.9691	0.0223	0.9665	0.0265	0.3389	0.5249					0.5790	0.0427	0.8623	0.0009	0.5000	0.0000	0.3122	0.0014
ablation	det_aug	human	fault_detection/val/packet_loss	3.0000	0.7898	0.0065	0.9197	0.0013	0.4997	0.0002	0.4998	0.0002					0.4895	0.0088	0.9197	0.0013	0.4784	0.0052	0.5003	0.0006
ablation	det_aug	human	fault_detection/val/packet_loss_burst	3.0000	0.6958	0.0013	0.8986	0.0009	0.4994	0.0003	0.5003	0.0008					0.5027	0.0050	0.8986	0.0009	0.0791	0.0056	0.5050	0.0013
ablation	det_aug	human	fault_detection/val/packet_loss_partial	3.0000	0.9421	0.0002	0.9997	0.0001	0.4997	0.0003	0.5000	0.0004					0.5041	0.0020	0.9222	0.0005	0.9997	0.0001	0.5003	0.0003
ablation	det_aug	human	fault_detection/val/sensor_delay	3.0000	0.8598	0.0047	0.9529	0.0000	0.5154	0.0140	0.5027	0.0437					0.5239	0.0160	0.5009	0.0001	0.9529	0.0000	0.5136	0.0001
ablation	det_aug	human	fault_detection/val/sensor_delay_jitter	3.0000	0.8370	0.0107	0.9333	0.0081	0.5230	0.0162	0.4987	0.0453					0.5343	0.0110	0.5008	0.0004	0.9333	0.0081	0.5131	0.0021
ablation	det_aug	human	fault_detection/val/stuck_imu	3.0000	0.9549	0.0001	1.0000	0.0000	0.5838	0.0212	0.4898	0.0642					0.5618	0.0102	0.9543	0.0002	1.0000	0.0000	0.4879	0.0003
ablation	det_aug	human	ood_detection/clean	3.0000	0.6510	0.0689	0.7653	0.0439	0.6927	0.0404	0.4873	0.3038					0.7238	0.0146	0.5564	0.0001	0.5624	0.0001	0.6658	0.0001
ablation	det_noaug	human	fault_detection/test_id/encoder_dropout	3.0000	0.9451	0.0010	0.9459	0.0002	0.5289	0.0840	0.4005	0.2513					0.4196	0.0292	0.9459	0.0002	0.4999	0.0000	0.4825	0.0002
ablation	det_noaug	human	fault_detection/test_id/imu_bias	3.0000	0.5249	0.0210	0.5353	0.0214	0.5291	0.0293	0.4906	0.0455					0.5048	0.0039	0.5023	0.0001	0.4999	0.0001	0.5138	0.0005
ablation	det_noaug	human	fault_detection/test_id/insole_missing	3.0000	0.7608	0.1137	0.8581	0.0010	0.5209	0.2611	0.4147	0.2333					0.3105	0.0629	0.8581	0.0010	0.4999	0.0000	0.3183	0.0015
ablation	det_noaug	human	fault_detection/test_id/packet_loss	3.0000	0.9079	0.0262	0.9375	0.0005	0.4997	0.0003	0.5000	0.0002					0.4987	0.0171	0.9375	0.0005	0.4794	0.0046	0.5000	0.0001
ablation	det_noaug	human	fault_detection/test_id/packet_loss_burst	3.0000	0.8474	0.0655	0.9212	0.0017	0.4998	0.0004	0.5005	0.0012					0.4960	0.0143	0.9212	0.0017	0.0549	0.0043	0.5020	0.0007
ablation	det_noaug	human	fault_detection/test_id/packet_loss_partial	3.0000	0.9410	0.0021	1.0000	0.0000	0.4997	0.0003	0.5002	0.0003					0.4926	0.0053	0.9388	0.0003	1.0000	0.0000	0.5000	0.0003
ablation	det_noaug	human	fault_detection/test_id/sensor_delay	3.0000	0.7456	0.2154	0.9531	0.0000	0.4872	0.0056	0.5063	0.0164					0.4908	0.0125	0.4970	0.0000	0.9531	0.0000	0.5088	0.0001
ablation	det_noaug	human	fault_detection/test_id/sensor_delay_jitter	3.0000	0.7264	0.1999	0.9348	0.0096	0.4858	0.0056	0.5034	0.0125					0.5027	0.0041	0.4969	0.0008	0.9348	0.0096	0.5107	0.0034
ablation	det_noaug	human	fault_detection/test_id/stuck_imu	3.0000	0.9650	0.0003	1.0000	0.0000	0.4837	0.0131	0.4986	0.0284					0.5461	0.0076	0.9648	0.0002	1.0000	0.0000	0.4924	0.0005
ablation	det_noaug	human	fault_detection/test_ood/encoder_dropout	3.0000	0.9759	0.0043	0.9809	0.0004	0.4437	0.1767	0.4369	0.3937					0.2188	0.0152	0.9809	0.0004	0.5005	0.0001	0.4887	0.0002
ablation	det_noaug	human	fault_detection/test_ood/imu_bias	3.0000	0.5347	0.0292	0.5439	0.0370	0.5439	0.0370	0.4848	0.0551					0.4831	0.0126	0.5024	0.0002	0.4997	0.0001	0.5004	0.0002
ablation	det_noaug	human	fault_detection/test_ood/insole_missing	3.0000	0.7763	0.0955	0.8513	0.0158	0.3980	0.3175	0.4671	0.3926					0.2053	0.0510	0.8417	0.0013	0.5005	0.0001	0.2930	0.0021
ablation	det_noaug	human	fault_detection/test_ood/packet_loss	3.0000	0.9213	0.0371	0.9610	0.0032	0.4997	0.0006	0.5000	0.0006					0.4941	0.0186	0.9610	0.0032	0.4565	0.0052	0.5003	0.0006
ablation	det_noaug	human	fault_detection/test_ood/packet_loss_burst	3.0000	0.8648	0.0456	0.9195	0.0057	0.5002	0.0025	0.4993	0.0006					0.5045	0.0124	0.9195	0.0057	0.0535	0.0120	0.5008	0.0017
ablation	det_noaug	human	fault_detection/test_ood/packet_loss_partial	3.0000	0.9753	0.0135	0.9999	0.0001	0.5000	0.0003	0.4998	0.0001					0.5029	0.0101	0.9600	0.0016	0.9999	0.0001	0.5003	0.0003
ablation	det_noaug	human	fault_detection/test_ood/sensor_delay	3.0000	0.7903	0.2529	0.9890	0.0000	0.4925	0.0328	0.5024	0.0271					0.4706	0.0201	0.4983	0.0001	0.9890	0.0000	0.5044	0.0002
ablation	det_noaug	human	fault_detection/test_ood/sensor_delay_jitter	3.0000	0.7587	0.2245	0.9632	0.0101	0.4863	0.0327	0.5010	0.0263					0.4904	0.0123	0.4986	0.0010	0.9632	0.0101	0.5040	0.0019
ablation	det_noaug	human	fault_detection/test_ood/stuck_imu	3.0000	0.9971	0.0001	1.0000	0.0000	0.4794	0.0115	0.4988	0.0073					0.5102	0.0336	0.9971	0.0001	1.0000	0.0000	0.4997	0.0003
ablation	det_noaug	human	fault_detection/train/encoder_dropout	3.0000	0.9374	0.0004	0.9376	0.0005	0.5049	0.1068	0.4054	0.2656					0.3965	0.0202	0.9376	0.0005	0.5000	0.0000	0.4597	0.0005
