run_family	training_mode	profile	detector	n	auroc_mean	auroc_std	best_signal_auroc_mean	best_signal_auroc_std	auroc_logit_mean	auroc_logit_std	auroc_aleatoric_mean	auroc_aleatoric_std	auroc_residual_mean	auroc_residual_std	auroc_forecast_mean	auroc_forecast_std	auroc_epistemic_mean	auroc_epistemic_std	auroc_staleness_mean	auroc_staleness_std	auroc_coherence_mean	auroc_coherence_std	auroc_drift_mean	auroc_drift_std
ablation	prob_aug_recon	human	fault_detection/test_id/packet_loss_burst	3.0000	0.7460	0.0195	0.9220	0.0018	0.4983	0.0004	0.5012	0.0003	0.5038	0.0004			0.5050	0.0069	0.9220	0.0018	0.0549	0.0043	0.5021	0.0006
ablation	prob_aug_recon	human	fault_detection/test_id/packet_loss_partial	3.0000	0.9192	0.0034	1.0000	0.0000	0.4995	0.0001	0.5002	0.0001	0.5015	0.0001			0.4941	0.0106	0.9393	0.0003	1.0000	0.0000	0.5001	0.0004
ablation	prob_aug_recon	human	fault_detection/test_id/sensor_delay	3.0000	0.8847	0.0016	0.9531	0.0000	0.4441	0.0093	0.5672	0.0057	0.6169	0.0026			0.5075	0.0102	0.4970	0.0000	0.9531	0.0000	0.5090	0.0001
ablation	prob_aug_recon	human	fault_detection/test_id/sensor_delay_jitter	3.0000	0.8703	0.0050	0.9348	0.0096	0.4444	0.0089	0.5711	0.0091	0.6236	0.0066			0.5136	0.0049	0.4968	0.0008	0.9348	0.0096	0.5107	0.0033
ablation	prob_aug_recon	human	fault_detection/test_id/stuck_imu	3.0000	0.9592	0.0004	1.0000	0.0000	0.4700	0.0125	0.5500	0.0080	0.6593	0.0028			0.5210	0.0046	0.9651	0.0002	1.0000	0.0000	0.4921	0.0002
ablation	prob_aug_recon	human	fault_detection/test_ood/encoder_dropout	3.0000	0.8991	0.0095	0.9818	0.0001	0.5868	0.0138	0.4186	0.0144	0.6888	0.0263			0.4408	0.0659	0.9818	0.0001	0.5006	0.0001	0.4887	0.0005
ablation	prob_aug_recon	human	fault_detection/test_ood/imu_bias	3.0000	0.4999	0.0009	0.5412	0.0032	0.5412	0.0032	0.4630	0.0024	0.5070	0.0015			0.4826	0.0038	0.5027	0.0003	0.5003	0.0004	0.5007	0.0003
ablation	prob_aug_recon	human	fault_detection/test_ood/insole_missing	3.0000	0.8403	0.0170	0.8482	0.0072	0.5099	0.0462	0.3821	0.0190	0.8330	0.0225			0.3958	0.0198	0.8438	0.0005	0.5006	0.0001	0.2956	0.0023
ablation	prob_aug_recon	human	fault_detection/test_ood/packet_loss	3.0000	0.7929	0.0072	0.9624	0.0033	0.4996	0.0004	0.4997	0.0004	0.5006	0.0002			0.4899	0.0166	0.9624	0.0033	0.4565	0.0054	0.5004	0.0004
ablation	prob_aug_recon	human	fault_detection/test_ood/packet_loss_burst	3.0000	0.7568	0.0021	0.9211	0.0052	0.4990	0.0004	0.5005	0.0010	0.5019	0.0009			0.5033	0.0024	0.9211	0.0052	0.0536	0.0120	0.5006	0.0019
ablation	prob_aug_recon	human	fault_detection/test_ood/packet_loss_partial	3.0000	0.8181	0.0033	0.9999	0.0001	0.4995	0.0004	0.4996	0.0002	0.5010	0.0005			0.5012	0.0245	0.9616	0.0011	0.9999	0.0001	0.5004	0.0004
ablation	prob_aug_recon	human	fault_detection/test_ood/sensor_delay	3.0000	0.7730	0.0012	0.9890	0.0000	0.4775	0.0081	0.5128	0.0054	0.5444	0.0034			0.5140	0.0019	0.4981	0.0001	0.9890	0.0000	0.5050	0.0007
ablation	prob_aug_recon	human	fault_detection/test_ood/sensor_delay_jitter	3.0000	0.7662	0.0074	0.9632	0.0101	0.4782	0.0092	0.5132	0.0042	0.5498	0.0027			0.4963	0.0307	0.4987	0.0008	0.9632	0.0101	0.5043	0.0027
ablation	prob_aug_recon	human	fault_detection/test_ood/stuck_imu	3.0000	0.8501	0.0051	1.0000	0.0000	0.4770	0.0060	0.5161	0.0040	0.4819	0.0063			0.5064	0.0177	0.9972	0.0000	1.0000	0.0000	0.4995	0.0003
ablation	prob_aug_recon	human	fault_detection/train/encoder_dropout	3.0000	0.9571	0.0072	0.9385	0.0004	0.5855	0.0081	0.5165	0.0440	0.9031	0.0122			0.5702	0.0430	0.9385	0.0004	0.5000	0.0000	0.4595	0.0004
ablation	prob_aug_recon	human	fault_detection/train/imu_bias	3.0000	0.5020	0.0007	0.5360	0.0010	0.5360	0.0010	0.4531	0.0034	0.5052	0.0025			0.4816	0.0050	0.5010	0.0001	0.5000	0.0000	0.5190	0.0005
ablation	prob_aug_recon	human	fault_detection/train/insole_missing	3.0000	0.9046	0.0135	0.9088	0.0228	0.5174	0.0366	0.4338	0.0405	0.9088	0.0228			0.4426	0.0291	0.8031	0.0005	0.5000	0.0000	0.3697	0.0012
ablation	prob_aug_recon	human	fault_detection/train/packet_loss	3.0000	0.8556	0.0028	0.9127	0.0007	0.4997	0.0000	0.5001	0.0000	0.5007	0.0000			0.5010	0.0007	0.9127	0.0007	0.4748	0.0012	0.5002	0.0000
ablation	prob_aug_recon	human	fault_detection/train/packet_loss_burst	3.0000	0.7695	0.0062	0.8848	0.0006	0.4986	0.0001	0.5010	0.0002	0.5036	0.0007			0.5011	0.0013	0.8848	0.0006	0.0800	0.0018	0.5028	0.0006
ablation	prob_aug_recon	human	fault_detection/train/packet_loss_partial	3.0000	0.8800	0.0053	0.9988	0.0001	0.4996	0.0000	0.5001	0.0000	0.5014	0.0002			0.4990	0.0025	0.9146	0.0005	0.9988	0.0001	0.5001	0.0001
ablation	prob_aug_recon	human	fault_detection/train/sensor_delay	3.0000	0.8061	0.0056	0.9374	0.0000	0.4355	0.0086	0.5724	0.0092	0.6022	0.0024			0.5019	0.0025	0.4987	0.0000	0.9374	0.0000	0.5153	0.0001
ablation	prob_aug_recon	human	fault_detection/train/sensor_delay_jitter	3.0000	0.7983	0.0047	0.9203	0.0023	0.4375	0.0080	0.5739	0.0088	0.6079	0.0009			0.5075	0.0029	0.4988	0.0002	0.9203	0.0023	0.5161	0.0006
ablation	prob_aug_recon	human	fault_detection/train/stuck_imu	3.0000	0.9556	0.0025	1.0000	0.0000	0.4595	0.0125	0.5567	0.0066	0.6559	0.0023			0.5179	0.0036	0.9666	0.0002	1.0000	0.0000	0.4871	0.0002
ablation	prob_aug_recon	human	fault_detection/val/encoder_dropout	3.0000	0.9282	0.0101	0.9350	0.0002	0.6122	0.0110	0.5372	0.0399	0.8554	0.0115			0.5821	0.0296	0.9350	0.0002	0.5000	0.0001	0.4790	0.0003
ablation	prob_aug_recon	human	fault_detection/val/imu_bias	3.0000	0.5013	0.0005	0.5391	0.0029	0.5391	0.0029	0.4503	0.0030	0.5019	0.0030			0.4830	0.0145	0.5016	0.0000	0.4999	0.0001	0.5141	0.0004
ablation	prob_aug_recon	human	fault_detection/val/insole_missing	3.0000	0.8837	0.0092	0.8977	0.0134	0.5708	0.0410	0.3769	0.0292	0.8977	0.0134			0.4333	0.0244	0.8637	0.0004	0.5000	0.0001	0.3146	0.0016
ablation	prob_aug_recon	human	fault_detection/val/packet_loss	3.0000	0.7710	0.0050	0.9205	0.0010	0.4996	0.0000	0.5002	0.0001	0.5012	0.0003			0.4910	0.0059	0.9205	0.0010	0.4784	0.0053	0.5003	0.0007
ablation	prob_aug_recon	human	fault_detection/val/packet_loss_burst	3.0000	0.6600	0.0020	0.8995	0.0005	0.4987	0.0007	0.5005	0.0002	0.5026	0.0004			0.5017	0.0062	0.8995	0.0005	0.0791	0.0057	0.5051	0.0011
ablation	prob_aug_recon	human	fault_detection/val/packet_loss_partial	3.0000	0.8768	0.0032	0.9997	0.0001	0.4994	0.0001	0.5002	0.0001	0.5016	0.0002			0.5017	0.0058	0.9231	0.0003	0.9997	0.0001	0.5004	0.0004
ablation	prob_aug_recon	human	fault_detection/val/sensor_delay	3.0000	0.8390	0.0039	0.9529	0.0000	0.4464	0.0112	0.5662	0.0075	0.5981	0.0048			0.5033	0.0066	0.5009	0.0000	0.9529	0.0000	0.5136	0.0001
ablation	prob_aug_recon	human	fault_detection/val/sensor_delay_jitter	3.0000	0.8235	0.0064	0.9333	0.0080	0.4480	0.0113	0.5653	0.0077	0.6042	0.0040			0.5058	0.0015	0.5008	0.0003	0.9333	0.0080	0.5131	0.0021
ablation	prob_aug_recon	human	fault_detection/val/stuck_imu	3.0000	0.9292	0.0007	1.0000	0.0000	0.4684	0.0104	0.5547	0.0030	0.6504	0.0040			0.5121	0.0031	0.9546	0.0001	1.0000	0.0000	0.4879	0.0002
ablation	prob_aug_recon	human	ood_detection/clean	3.0000	0.7340	0.0133	0.7446	0.0047	0.5683	0.0599	0.7068	0.0391	0.7153	0.0268			0.7183	0.0218	0.5564	0.0000	0.5624	0.0002	0.6661	0.0004
ablation	prob_aug_recon_fc	human	fault_detection/test_id/encoder_dropout	3.0000	0.9501	0.0040	0.9460	0.0002	0.6315	0.0344	0.4886	0.0195	0.8663	0.0174	0.8500	0.0183	0.5442	0.0278	0.9460	0.0002	0.4999	0.0000	0.4827	0.0004
ablation	prob_aug_recon_fc	human	fault_detection/test_id/imu_bias	3.0000	0.5017	0.0008	0.5407	0.0075	0.5407	0.0075	0.4543	0.0034	0.5043	0.0016	0.5039	0.0016	0.4824	0.0035	0.5022	0.0002	0.4999	0.0001	0.5139	0.0002
ablation	prob_aug_recon_fc	human	fault_detection/test_id/insole_missing	3.0000	0.9328	0.0171	0.9516	0.0160	0.4835	0.0567	0.4996	0.0429	0.9516	0.0160	0.9374	0.0165	0.4716	0.0337	0.8589	0.0005	0.4999	0.0000	0.3185	0.0016
ablation	prob_aug_recon_fc	human	fault_detection/test_id/packet_loss	3.0000	0.8759	0.0065	0.9379	0.0005	0.4995	0.0002	0.4999	0.0002	0.5005	0.0002	0.5082	0.0011	0.4963	0.0058	0.9379	0.0005	0.4794	0.0046	0.5000	0.0001
ablation	prob_aug_recon_fc	human	fault_detection/test_id/packet_loss_burst	3.0000	0.7432	0.0190	0.9217	0.0018	0.4983	0.0004	0.5013	0.0002	0.5033	0.0006	0.5151	0.0010	0.5017	0.0026	0.9217	0.0018	0.0549	0.0043	0.5022	0.0008
ablation	prob_aug_recon_fc	human	fault_detection/test_id/packet_loss_partial	3.0000	0.9162	0.0044	1.0000	0.0000	0.4994	0.0001	0.5002	0.0002	0.5015	0.0003	0.5084	0.0009	0.4965	0.0039	0.9391	0.0003	1.0000	0.0000	0.5001	0.0003
ablation	prob_aug_recon_fc	human	fault_detection/test_id/sensor_delay	3.0000	0.8791	0.0076	0.9531	0.0000	0.4300	0.0154	0.5715	0.0173	0.6138	0.0156	0.6011	0.0119	0.5160	0.0035	0.4970	0.0001	0.9531	0.0000	0.5090	0.0001
ablation	prob_aug_recon_fc	human	fault_detection/test_id/sensor_delay_jitter	3.0000	0.8676	0.0102	0.9348	0.0096	0.4317	0.0138	0.5737	0.0141	0.6193	0.0127	0.6070	0.0101	0.5174	0.0156	0.4969	0.0008	0.9348	0.0096	0.5106	0.0036
ablation	prob_aug_recon_fc	human	fault_detection/test_id/stuck_imu	3.0000	0.9589	0.0005	1.0000	0.0000	0.4774	0.0125	0.5418	0.0120	0.6595	0.0071	0.6459	0.0056	0.5330	0.0058	0.9650	0.0002	1.0000	0.0000	0.4922	0.0004
ablation	prob_aug_recon_fc	human	fault_detection/test_ood/encoder_dropout	3.0000	0.8900	0.0071	0.9814	0.0002	0.6067	0.0292	0.4182	0.0262	0.6517	0.0306	0.6379	0.0308	0.4393	0.0482	0.9814	0.0002	0.5005	0.0001	0.4889	0.0004
ablation	prob_aug_recon_fc	human	fault_detection/test_ood/imu_bias	3.0000	0.5025	0.0009	0.5416	0.0074	0.5416	0.0074	0.4619	0.0020	0.5086	0.0014	0.5084	0.0012	0.4784	0.0134	0.5028	0.0000	0.4999	0.0002	0.5005	0.0001
ablation	prob_aug_recon_fc	human	fault_detection/test_ood/insole_missing	3.0000	0.8507	0.0391	0.8577	0.0260	0.4720	0.0281	0.4504	0.0264	0.8374	0.0435	0.8110	0.0415	0.4007	0.0260	0.8430	0.0005	0.5005	0.0001	0.2932	0.0021
ablation	prob_aug_recon_fc	human	fault_detection/test_ood/packet_loss	3.0000	0.7924	0.0024	0.9619	0.0031	0.4991	0.0005	0.5000	0.0005	0.5005	0.0001	0.5079	0.0020	0.4925	0.0045	0.9619	0.0031	0.4564	0.0054	0.5005	0.0005
ablation	prob_aug_recon_fc	human	fault_detection/test_ood/packet_loss_burst	3.0000	0.7557	0.0057	0.9204	0.0055	0.4995	0.0016	0.5002	0.0006	0.5019	0.0009	0.5105	0.0025	0.4989	0.0143	0.9204	0.0055	0.0535	0.0120	0.5005	0.0014
ablation	prob_aug_recon_fc	human	fault_detection/test_ood/packet_loss_partial	3.0000	0.8166	0.0047	0.9999	0.0001	0.4996	0.0005	0.4997	0.0006	0.5007	0.0007	0.5072	0.0010	0.4995	0.0192	0.9611	0.0012	0.9999	0.0001	0.5004	0.0005
ablation	prob_aug_recon_fc	human	fault_detection/test_ood/sensor_delay	3.0000	0.7753	0.0080	0.9890	0.0000	0.4763	0.0066	0.5143	0.0064	0.5450	0.0081	0.5398	0.0068	0.5205	0.0161	0.4983	0.0001	0.9890	0.0000	0.5044	0.0005
ablation	prob_aug_recon_fc	human	fault_detection/test_ood/sensor_delay_jitter	3.0000	0.7684	0.0084	0.9632	0.0101	0.4778	0.0044	0.5143	0.0070	0.5496	0.0031	0.5446	0.0023	0.4979	0.0047	0.4986	0.0008	0.9632	0.0101	0.5038	0.0019
ablation	prob_aug_recon_fc	human	fault_detection/test_ood/stuck_imu	3.0000	0.8496	0.0087	1.0000	0.0000	0.4821	0.0058	0.5117	0.0067	0.4798	0.0068	0.4760	0.0061	0.5122	0.0228	0.9972	0.0000	1.0000	0.0000	0.4995	0.0001
ablation	prob_aug_recon_fc	human	fault_detection/train/encoder_dropout	3.0000	0.9503	0.0058	0.9381	0.0003	0.5774	0.0506	0.5227	0.0179	0.8880	0.0117	0.8726	0.0133	0.5684	0.0269	0.9381	0.0003	0.5000	0.0000	0.4603	0.0006
ablation	prob_aug_recon_fc	human	fault_detection/train/imu_bias	3.0000	0.5022	0.0012	0.5395	0.0116	0.5395	0.0116	0.4547	0.0057	0.5049	0.0027	0.5045	0.0022	0.4802	0.0012	0.5009	0.0002	0.5000	0.0000	0.5188	0.0002
ablation	prob_aug_recon_fc	human	fault_detection/train/insole_missing	3.0000	0.9098	0.0268	0.9166	0.0268	0.4829	0.0382	0.4872	0.0306	0.9166	0.0268	0.8951	0.0279	0.4594	0.0335	0.8027	0.0004	0.5000	0.0000	0.3676	0.0016
ablation	prob_aug_recon_fc	human	fault_detection/train/packet_loss	3.0000	0.8555	0.0037	0.9123	0.0002	0.4997	0.0001	0.5001	0.0000	0.5006	0.0001	0.5082	0.0014	0.4981	0.0006	0.9123	0.0002	0.4748	0.0011	0.5002	0.0001
ablation	prob_aug_recon_fc	human	fault_detection/train/packet_loss_burst	3.0000	0.7686	0.0057	0.8844	0.0011	0.4984	0.0005	0.5010	0.0004	0.5034	0.0005	0.5148	0.0023	0.5004	0.0026	0.8844	0.0011	0.0800	0.0018	0.5028	0.0006
ablation	prob_aug_recon_fc	human	fault_detection/train/packet_loss_partial	3.0000	0.8808	0.0045	0.9988	0.0001	0.4996	0.0001	0.5001	0.0001	0.5012	0.0002	0.5080	0.0016	0.5015	0.0010	0.9142	0.0004	0.9988	0.0001	0.5001	0.0001
ablation	prob_aug_recon_fc	human	fault_detection/train/sensor_delay	3.0000	0.8070	0.0082	0.9374	0.0000	0.4224	0.0187	0.5753	0.0117	0.6016	0.0123	0.5889	0.0091	0.5077	0.0046	0.4987	0.0000	0.9374	0.0000	0.5152	0.0001
ablation	prob_aug_recon_fc	human	fault_detection/train/sensor_delay_jitter	3.0000	0.7999	0.0082	0.9203	0.0023	0.4264	0.0182	0.5763	0.0121	0.6068	0.0113	0.5943	0.0083	0.5118	0.0031	0.4988	0.0002	0.9203	0.0023	0.5160	0.0004
ablation	prob_aug_recon_fc	human	fault_detection/train/stuck_imu	3.0000	0.9573	0.0022	1.0000	0.0000	0.4671	0.0174	0.5473	0.0109	0.6583	0.0068	0.6445	0.0052	0.5201	0.0031	0.9664	0.0002	1.0000	0.0000	0.4871	0.0002
ablation	prob_aug_recon_fc	human	fault_detection/val/encoder_dropout	3.0000	0.9187	0.0048	0.9346	0.0003	0.6054	0.0471	0.5392	0.0161	0.8345	0.0091	0.8195	0.0104	0.5760	0.0134	0.9346	0.0003	0.5000	0.0000	0.4795	0.0004
ablation	prob_aug_recon_fc	human	fault_detection/val/imu_bias	3.0000	0.5009	0.0007	0.5433	0.0095	0.5433	0.0095	0.4547	0.0052	0.5009	0.0024	0.5014	0.0020	0.4815	0.0050	0.5016	0.0000	0.5001	0.0001	0.5139	0.0002
ablation	prob_aug_recon_fc	human	fault_detection/val/insole_missing	3.0000	0.8925	0.0249	0.9053	0.0195	0.5316	0.0536	0.4369	0.0362	0.9053	0.0195	0.8857	0.0203	0.4591	0.0340	0.8631	0.0005	0.5000	0.0000	0.3125	0.0016
ablation	prob_aug_recon_fc	human	fault_detection/val/packet_loss	3.0000	0.7707	0.0028	0.9202	0.0012	0.4994	0.0001	0.5003	0.0001	0.5010	0.0004	0.5095	0.0011	0.5004	0.0038	0.9202	0.0012	0.4784	0.0053	0.5003	0.0005
ablation	prob_aug_recon_fc	human	fault_detection/val/packet_loss_burst	3.0000	0.6589	0.0078	0.8991	0.0008	0.4986	0.0002	0.5005	0.0001	0.5028	0.0002	0.5151	0.0010	0.4950	0.0098	0.8991	0.0008	0.0792	0.0056	0.5049	0.0011
ablation	prob_aug_recon_fc	human	fault_detection/val/packet_loss_partial	3.0000	0.8786	0.0019	0.9997	0.0001	0.4994	0.0003	0.5001	0.0003	0.5014	0.0001	0.5089	0.0009	0.4983	0.0014	0.9227	0.0002	0.9997	0.0001	0.5003	0.0004
ablation	prob_aug_recon_fc	human	fault_detection/val/sensor_delay	3.0000	0.8410	0.0053	0.9529	0.0000	0.4339	0.0186	0.5670	0.0145	0.5972	0.0096	0.5861	0.0073	0.5125	0.0025	0.5009	0.0001	0.9529	0.0000	0.5136	0.0001
ablation	prob_aug_recon_fc	human	fault_detection/val/sensor_delay_jitter	3.0000	0.8249	0.0091	0.9333	0.0081	0.4373	0.0199	0.5662	0.0161	0.6024	0.0128	0.5916	0.0100	0.5196	0.0058	0.5008	0.0004	0.9333	0.0081	0.5131	0.0021
ablation	prob_aug_recon_fc	human	fault_detection/val/stuck_imu	3.0000	0.9326	0.0010	1.0000	0.0000	0.4698	0.0164	0.5455	0.0108	0.6530	0.0062	0.6402	0.0053	0.5248	0.0054	0.9545	0.0001	1.0000	0.0000	0.4880	0.0002
ablation	prob_aug_recon_fc	human	ood_detection/clean	3.0000	0.7222	0.0075	0.7205	0.0110	0.5400	0.0353	0.7098	0.0279	0.7007	0.0182	0.6880	0.0160	0.7189	0.0114	0.5564	0.0001	0.5623	0.0001	0.6660	0.0001
action	prob_aug_recon_fc	human_desired	fault_detection/test_id/encoder_dropout	1.0000	0.9483	0.0000	0.9411	0.0000	0.6512	0.0000	0.4546	0.0000	0.8749	0.0000	0.8609	0.0000	0.5493	0.0000	0.9411	0.0000	0.4999	0.0000	0.4946	0.0000
action	prob_aug_recon_fc	human_desired	fault_detection/test_id/imu_bias	1.0000	0.5013	0.0000	0.5312	0.0000	0.5312	0.0000	0.4630	0.0000	0.5048	0.0000	0.5055	0.0000	0.4762	0.0000	0.5021	0.0000	0.5002	0.0000	0.5128	0.0000
action	prob_aug_recon_fc	human_desired	fault_detection/test_id/insole_missing	1.0000	0.9266	0.0000	0.9464	0.0000	0.4862	0.0000	0.4969	0.0000	0.9464	0.0000	0.9329	0.0000	0.4477	0.0000	0.8451	0.0000	0.4999	0.0000	0.3487	0.0000
action	prob_aug_recon_fc	human_desired	fault_detection/test_id/packet_loss	1.0000	0.8686	0.0000	0.9370	0.0000	0.4995	0.0000	0.5002	0.0000	0.5010	0.0000	0.5087	0.0000	0.4920	0.0000	0.9370	0.0000	0.4820	0.0000	0.5000	0.0000
action	prob_aug_recon_fc	human_desired	fault_detection/test_id/packet_loss_burst	1.0000	0.7410	0.0000	0.9187	0.0000	0.4977	0.0000	0.5013	0.0000	0.5029	0.0000	0.5150	0.0000	0.5030	0.0000	0.9187	0.0000	0.0662	0.0000	0.5004	0.0000
action	prob_aug_recon_fc	human_desired	fault_detection/test_id/packet_loss_partial	1.0000	0.9111	0.0000	1.0000	0.0000	0.4995	0.0000	0.5001	0.0000	0.5014	0.0000	0.5081	0.0000	0.5026	0.0000	0.9391	0.0000	1.0000	0.0000	0.5003	0.0000
action	prob_aug_recon_fc	human_desired	fault_detection/test_id/sensor_delay	1.0000	0.8712	0.0000	0.9531	0.0000	0.4614	0.0000	0.5370	0.0000	0.5909	0.0000	0.5802	0.0000	0.4964	0.0000	0.4975	0.0000	0.9531	0.0000	0.5091	0.0000
action	prob_aug_recon_fc	human_desired	fault_detection/test_id/sensor_delay_jitter	1.0000	0.8588	0.0000	0.9366	0.0000	0.4610	0.0000	0.5396	0.0000	0.6066	0.0000	0.5950	0.0000	0.4981	0.0000	0.4973	0.0000	0.9366	0.0000	0.5118	0.0000
action	prob_aug_recon_fc	human_desired	fault_detection/test_id/stuck_imu	1.0000	0.9546	0.0000	1.0000	0.0000	0.4805	0.0000	0.5300	0.0000	0.6677	0.0000	0.6540	0.0000	0.5105	0.0000	0.9587	0.0000	1.0000	0.0000	0.4930	0.0000
action	prob_aug_recon_fc	human_desired	fault_detection/test_ood/encoder_dropout	1.0000	0.8976	0.0000	0.9667	0.0000	0.6435	0.0000	0.4292	0.0000	0.6869	0.0000	0.6737	0.0000	0.4710	0.0000	0.9667	0.0000	0.5006	0.0000	0.4951	0.0000
action	prob_aug_recon_fc	human_desired	fault_detection/test_ood/imu_bias	1.0000	0.5012	0.0000	0.5455	0.0000	0.5455	0.0000	0.4666	0.0000	0.5059	0.0000	0.5063	0.0000	0.4842	0.0000	0.5020	0.0000	0.5005	0.0000	0.5001	0.0000
action	prob_aug_recon_fc	human_desired	fault_detection/test_ood/insole_missing	1.0000	0.8595	0.0000	0.8338	0.0000	0.4773	0.0000	0.4462	0.0000	0.8338	0.0000	0.8110	0.0000	0.3868	0.0000	0.8195	0.0000	0.5006	0.0000	0.3599	0.0000
action	prob_aug_recon_fc	human_desired	fault_detection/test_ood/packet_loss	1.0000	0.8022	0.0000	0.9598	0.0000	0.4999	0.0000	0.5002	0.0000	0.5012	0.0000	0.5073	0.0000	0.5100	0.0000	0.9598	0.0000	0.4568	0.0000	0.5003	0.0000
action	prob_aug_recon_fc	human_desired	fault_detection/test_ood/packet_loss_burst	1.0000	0.7610	0.0000	0.9183	0.0000	0.5007	0.0000	0.4992	0.0000	0.5003	0.0000	0.5081	0.0000	0.4923	0.0000	0.9183	0.0000	0.0450	0.0000	0.5011	0.0000
action	prob_aug_recon_fc	human_desired	fault_detection/test_ood/packet_loss_partial	1.0000	0.8138	0.0000	1.0000	0.0000	0.5000	0.0000	0.4994	0.0000	0.5008	0.0000	0.5068	0.0000	0.4920	0.0000	0.9605	0.0000	1.0000	0.0000	0.5004	0.0000
action	prob_aug_recon_fc	human_desired	fault_detection/test_ood/sensor_delay	1.0000	0.7460	0.0000	0.9890	0.0000	0.4901	0.0000	0.5036	0.0000	0.5296	0.0000	0.5259	0.0000	0.5131	0.0000	0.4980	0.0000	0.9890	0.0000	0.5091	0.0000
action	prob_aug_recon_fc	human_desired	fault_detection/test_ood/sensor_delay_jitter	1.0000	0.7387	0.0000	0.9543	0.0000	0.4920	0.0000	0.5043	0.0000	0.5376	0.0000	0.5332	0.0000	0.4913	0.0000	0.4980	0.0000	0.9543	0.0000	0.5070	0.0000
action	prob_aug_recon_fc	human_desired	fault_detection/test_ood/stuck_imu	1.0000	0.8403	0.0000	1.0000	0.0000	0.4884	0.0000	0.5065	0.0000	0.4627	0.0000	0.4621	0.0000	0.5034	0.0000	0.9939	0.0000	1.0000	0.0000	0.4998	0.0000
action	prob_aug_recon_fc	human_desired	fault_detection/train/encoder_dropout	1.0000	0.9440	0.0000	0.9031	0.0000	0.6088	0.0000	0.4769	0.0000	0.9031	0.0000	0.8888	0.0000	0.5614	0.0000	0.9023	0.0000	0.5000	0.0000	0.4816	0.0000
action	prob_aug_recon_fc	human_desired	fault_detection/train/imu_bias	1.0000	0.5025	0.0000	0.5283	0.0000	0.5283	0.0000	0.4625	0.0000	0.5030	0.0000	0.5038	0.0000	0.4838	0.0000	0.5008	0.0000	0.5000	0.0000	0.5135	0.0000
action	prob_aug_recon_fc	human_desired	fault_detection/train/insole_missing	1.0000	0.8777	0.0000	0.9105	0.0000	0.4819	0.0000	0.4754	0.0000	0.9105	0.0000	0.8882	0.0000	0.4418	0.0000	0.7597	0.0000	0.5000	0.0000	0.3938	0.0000
action	prob_aug_recon_fc	human_desired	fault_detection/train/packet_loss	1.0000	0.8435	0.0000	0.8873	0.0000	0.4997	0.0000	0.5001	0.0000	0.5006	0.0000	0.5079	0.0000	0.4971	0.0000	0.8873	0.0000	0.4760	0.0000	0.5000	0.0000
action	prob_aug_recon_fc	human_desired	fault_detection/train/packet_loss_burst	1.0000	0.7720	0.0000	0.8592	0.0000	0.4988	0.0000	0.5010	0.0000	0.5037	0.0000	0.5150	0.0000	0.4972	0.0000	0.8592	0.0000	0.0781	0.0000	0.5015	0.0000
action	prob_aug_recon_fc	human_desired	fault_detection/train/packet_loss_partial	1.0000	0.8585	0.0000	0.9988	0.0000	0.4997	0.0000	0.5001	0.0000	0.5012	0.0000	0.5077	0.0000	0.4989	0.0000	0.8885	0.0000	0.9988	0.0000	0.4999	0.0000
action	prob_aug_recon_fc	human_desired	fault_detection/train/sensor_delay	1.0000	0.7497	0.0000	0.9374	0.0000	0.4467	0.0000	0.5498	0.0000	0.5814	0.0000	0.5705	0.0000	0.4907	0.0000	0.4989	0.0000	0.9374	0.0000	0.5118	0.0000
action	prob_aug_recon_fc	human_desired	fault_detection/train/sensor_delay_jitter	1.0000	0.7486	0.0000	0.9234	0.0000	0.4475	0.0000	0.5511	0.0000	0.5920	0.0000	0.5807	0.0000	0.4960	0.0000	0.4987	0.0000	0.9234	0.0000	0.5126	0.0000
action	prob_aug_recon_fc	human_desired	fault_detection/train/stuck_imu	1.0000	0.9454	0.0000	1.0000	0.0000	0.4792	0.0000	0.5324	0.0000	0.6562	0.0000	0.6438	0.0000	0.5125	0.0000	0.9429	0.0000	1.0000	0.0000	0.4920	0.0000
action	prob_aug_recon_fc	human_desired	fault_detection/val/encoder_dropout	1.0000	0.9101	0.0000	0.9268	0.0000	0.6353	0.0000	0.4935	0.0000	0.8399	0.0000	0.8261	0.0000	0.5762	0.0000	0.9268	0.0000	0.4999	0.0000	0.4873	0.0000
action	prob_aug_recon_fc	human_desired	fault_detection/val/imu_bias	1.0000	0.5009	0.0000	0.5307	0.0000	0.5307	0.0000	0.4624	0.0000	0.5034	0.0000	0.5040	0.0000	0.4889	0.0000	0.5013	0.0000	0.4999	0.0000	0.5125	0.0000
action	prob_aug_recon_fc	human_desired	fault_detection/val/insole_missing	1.0000	0.8752	0.0000	0.8930	0.0000	0.5330	0.0000	0.4286	0.0000	0.8930	0.0000	0.8719	0.0000	0.4417	0.0000	0.8504	0.0000	0.4999	0.0000	0.3383	0.0000
action	prob_aug_recon_fc	human_desired	fault_detection/val/packet_loss	1.0000	0.7921	0.0000	0.9239	0.0000	0.4995	0.0000	0.5000	0.0000	0.5009	0.0000	0.5091	0.0000	0.5049	0.0000	0.9239	0.0000	0.4727	0.0000	0.5005	0.0000
