profile	detector	n	auroc_mean	auroc_std	best_signal_auroc_mean	best_signal_auroc_std	auroc_logit_mean	auroc_logit_std	auroc_aleatoric_mean	auroc_aleatoric_std	auroc_residual_mean	auroc_residual_std	auroc_forecast_mean	auroc_forecast_std	auroc_epistemic_mean	auroc_epistemic_std	auroc_staleness_mean	auroc_staleness_std	auroc_coherence_mean	auroc_coherence_std	auroc_drift_mean	auroc_drift_std
human_measured	fault_detection/test_id/imu_bias	1.0000	0.5031	0.0000	0.5313	0.0000	0.5313	0.0000	0.4608	0.0000	0.5089	0.0000	0.5085	0.0000	0.4783	0.0000	0.5021	0.0000	0.5002	0.0000	0.5100	0.0000
human_measured	fault_detection/test_id/insole_missing	1.0000	0.9128	0.0000	0.9418	0.0000	0.4811	0.0000	0.4912	0.0000	0.9418	0.0000	0.9264	0.0000	0.4459	0.0000	0.8522	0.0000	0.4999	0.0000	0.3729	0.0000
human_measured	fault_detection/test_id/packet_loss	1.0000	0.8844	0.0000	0.9396	0.0000	0.4995	0.0000	0.5001	0.0000	0.5006	0.0000	0.5080	0.0000	0.4910	0.0000	0.9396	0.0000	0.4820	0.0000	0.4999	0.0000
human_measured	fault_detection/test_id/packet_loss_burst	1.0000	0.7550	0.0000	0.9223	0.0000	0.4981	0.0000	0.5009	0.0000	0.5025	0.0000	0.5143	0.0000	0.4968	0.0000	0.9223	0.0000	0.0662	0.0000	0.5002	0.0000
human_measured	fault_detection/test_id/packet_loss_partial	1.0000	0.9194	0.0000	1.0000	0.0000	0.4993	0.0000	0.4999	0.0000	0.5012	0.0000	0.5078	0.0000	0.5022	0.0000	0.9412	0.0000	1.0000	0.0000	0.5000	0.0000
human_measured	fault_detection/test_id/sensor_delay	1.0000	0.8774	0.0000	0.9531	0.0000	0.4602	0.0000	0.5438	0.0000	0.5910	0.0000	0.5805	0.0000	0.5026	0.0000	0.4969	0.0000	0.9531	0.0000	0.5069	0.0000
human_measured	fault_detection/test_id/sensor_delay_jitter	1.0000	0.8633	0.0000	0.9366	0.0000	0.4612	0.0000	0.5449	0.0000	0.6043	0.0000	0.5935	0.0000	0.5048	0.0000	0.4970	0.0000	0.9366	0.0000	0.5094	0.0000
human_measured	fault_detection/test_id/stuck_imu	1.0000	0.9608	0.0000	1.0000	0.0000	0.4877	0.0000	0.5226	0.0000	0.6585	0.0000	0.6467	0.0000	0.5166	0.0000	0.9623	0.0000	1.0000	0.0000	0.4954	0.0000
human_measured	fault_detection/test_ood/encoder_dropout	1.0000	0.9001	0.0000	0.9758	0.0000	0.6026	0.0000	0.4576	0.0000	0.6580	0.0000	0.6477	0.0000	0.4388	0.0000	0.9758	0.0000	0.5006	0.0000	0.4971	0.0000
human_measured	fault_detection/test_ood/imu_bias	1.0000	0.5057	0.0000	0.5526	0.0000	0.5526	0.0000	0.4611	0.0000	0.5061	0.0000	0.5076	0.0000	0.4640	0.0000	0.5019	0.0000	0.5005	0.0000	0.5002	0.0000
human_measured	fault_detection/test_ood/insole_missing	1.0000	0.8496	0.0000	0.8340	0.0000	0.4468	0.0000	0.4199	0.0000	0.8285	0.0000	0.8028	0.0000	0.3898	0.0000	0.8340	0.0000	0.5006	0.0000	0.4013	0.0000
human_measured	fault_detection/test_ood/packet_loss	1.0000	0.8153	0.0000	0.9685	0.0000	0.4994	0.0000	0.5000	0.0000	0.5004	0.0000	0.5081	0.0000	0.4993	0.0000	0.9685	0.0000	0.4568	0.0000	0.5008	0.0000
human_measured	fault_detection/test_ood/packet_loss_burst	1.0000	0.7716	0.0000	0.9289	0.0000	0.4994	0.0000	0.5002	0.0000	0.5012	0.0000	0.5101	0.0000	0.5056	0.0000	0.9289	0.0000	0.0450	0.0000	0.5018	0.0000
human_measured	fault_detection/test_ood/packet_loss_partial	1.0000	0.8272	0.0000	1.0000	0.0000	0.4995	0.0000	0.5001	0.0000	0.5012	0.0000	0.5071	0.0000	0.4804	0.0000	0.9692	0.0000	1.0000	0.0000	0.5000	0.0000
human_measured	fault_detection/test_ood/sensor_delay	1.0000	0.7683	0.0000	0.9890	0.0000	0.4889	0.0000	0.5022	0.0000	0.5335	0.0000	0.5298	0.0000	0.4960	0.0000	0.4979	0.0000	0.9890	0.0000	0.5090	0.0000
human_measured	fault_detection/test_ood/sensor_delay_jitter	1.0000	0.7576	0.0000	0.9543	0.0000	0.4928	0.0000	0.5016	0.0000	0.5417	0.0000	0.5373	0.0000	0.5010	0.0000	0.4980	0.0000	0.9543	0.0000	0.5075	0.0000
human_measured	fault_detection/test_ood/stuck_imu	1.0000	0.8563	0.0000	1.0000	0.0000	0.4887	0.0000	0.5045	0.0000	0.4643	0.0000	0.4650	0.0000	0.5009	0.0000	0.9967	0.0000	1.0000	0.0000	0.5000	0.0000
human_measured	fault_detection/train/encoder_dropout	1.0000	0.9471	0.0000	0.9191	0.0000	0.5935	0.0000	0.5194	0.0000	0.8969	0.0000	0.8833	0.0000	0.5717	0.0000	0.9191	0.0000	0.5000	0.0000	0.4753	0.0000
human_measured	fault_detection/train/imu_bias	1.0000	0.5029	0.0000	0.5298	0.0000	0.5298	0.0000	0.4588	0.0000	0.5060	0.0000	0.5060	0.0000	0.4781	0.0000	0.5008	0.0000	0.5000	0.0000	0.5124	0.0000
human_measured	fault_detection/train/insole_missing	1.0000	0.8699	0.0000	0.8959	0.0000	0.4769	0.0000	0.4718	0.0000	0.8959	0.0000	0.8711	0.0000	0.4337	0.0000	0.7794	0.0000	0.5000	0.0000	0.3882	0.0000
human_measured	fault_detection/train/packet_loss	1.0000	0.8628	0.0000	0.9047	0.0000	0.4997	0.0000	0.5001	0.0000	0.5006	0.0000	0.5077	0.0000	0.4962	0.0000	0.9047	0.0000	0.4760	0.0000	0.5001	0.0000
human_measured	fault_detection/train/packet_loss_burst	1.0000	0.7869	0.0000	0.8776	0.0000	0.4988	0.0000	0.5011	0.0000	0.5034	0.0000	0.5143	0.0000	0.4961	0.0000	0.8776	0.0000	0.0781	0.0000	0.5019	0.0000
human_measured	fault_detection/train/packet_loss_partial	1.0000	0.8789	0.0000	0.9988	0.0000	0.4997	0.0000	0.5002	0.0000	0.5011	0.0000	0.5074	0.0000	0.4958	0.0000	0.9062	0.0000	0.9988	0.0000	0.5000	0.0000
human_measured	fault_detection/train/sensor_delay	1.0000	0.7799	0.0000	0.9374	0.0000	0.4481	0.0000	0.5535	0.0000	0.5853	0.0000	0.5741	0.0000	0.4957	0.0000	0.4989	0.0000	0.9374	0.0000	0.5121	0.0000
human_measured	fault_detection/train/sensor_delay_jitter	1.0000	0.7767	0.0000	0.9234	0.0000	0.4487	0.0000	0.5556	0.0000	0.5943	0.0000	0.5830	0.0000	0.5017	0.0000	0.4987	0.0000	0.9234	0.0000	0.5127	0.0000
human_measured	fault_detection/train/stuck_imu	1.0000	0.9531	0.0000	1.0000	0.0000	0.4818	0.0000	0.5271	0.0000	0.6590	0.0000	0.6461	0.0000	0.5113	0.0000	0.9544	0.0000	1.0000	0.0000	0.4911	0.0000
human_measured	fault_detection/val/encoder_dropout	1.0000	0.9152	0.0000	0.9306	0.0000	0.6230	0.0000	0.5405	0.0000	0.8401	0.0000	0.8270	0.0000	0.5940	0.0000	0.9306	0.0000	0.4999	0.0000	0.4917	0.0000
human_measured	fault_detection/val/imu_bias	1.0000	0.5030	0.0000	0.5305	0.0000	0.5305	0.0000	0.4628	0.0000	0.5057	0.0000	0.5058	0.0000	0.4942	0.0000	0.5014	0.0000	0.4999	0.0000	0.5102	0.0000
human_measured	fault_detection/val/insole_missing	1.0000	0.8455	0.0000	0.8842	0.0000	0.5195	0.0000	0.4364	0.0000	0.8842	0.0000	0.8627	0.0000	0.4478	0.0000	0.8568	0.0000	0.4999	0.0000	0.3630	0.0000
human_measured	fault_detection/val/packet_loss	1.0000	0.8071	0.0000	0.9269	0.0000	0.4995	0.0000	0.5000	0.0000	0.5008	0.0000	0.5090	0.0000	0.4900	0.0000	0.9269	0.0000	0.4727	0.0000	0.5003	0.0000
human_measured	fault_detection/val/packet_loss_burst	1.0000	0.6826	0.0000	0.9022	0.0000	0.4985	0.0000	0.5012	0.0000	0.5040	0.0000	0.5158	0.0000	0.5051	0.0000	0.9022	0.0000	0.0839	0.0000	0.5025	0.0000
human_measured	fault_detection/val/packet_loss_partial	1.0000	0.8823	0.0000	0.9997	0.0000	0.4993	0.0000	0.5001	0.0000	0.5017	0.0000	0.5088	0.0000	0.5003	0.0000	0.9277	0.0000	0.9997	0.0000	0.5005	0.0000
human_measured	fault_detection/val/sensor_delay	1.0000	0.8324	0.0000	0.9529	0.0000	0.4579	0.0000	0.5426	0.0000	0.5825	0.0000	0.5735	0.0000	0.4944	0.0000	0.5014	0.0000	0.9529	0.0000	0.5110	0.0000
human_measured	fault_detection/val/sensor_delay_jitter	1.0000	0.8267	0.0000	0.9444	0.0000	0.4577	0.0000	0.5437	0.0000	0.5896	0.0000	0.5811	0.0000	0.4969	0.0000	0.5017	0.0000	0.9444	0.0000	0.5103	0.0000
human_measured	fault_detection/val/stuck_imu	1.0000	0.9343	0.0000	1.0000	0.0000	0.4931	0.0000	0.5219	0.0000	0.6523	0.0000	0.6407	0.0000	0.5164	0.0000	0.9530	0.0000	1.0000	0.0000	0.4916	0.0000
human_measured	ood_detection/clean	1.0000	0.7028	0.0000	0.7451	0.0000	0.6086	0.0000	0.6922	0.0000	0.7451	0.0000	0.7348	0.0000	0.7075	0.0000	0.5598	0.0000	0.5624	0.0000	0.6856	0.0000
