time,hip_flexion_l_moment,hip_adduction_l_moment,hip_rotation_l_moment,knee_angle_l_moment,ankle_angle_l_moment,subtalar_angle_l_moment,hip_flexion_r_moment,hip_adduction_r_moment,hip_rotation_r_moment,knee_angle_r_moment,ankle_angle_r_moment,subtalar_angle_r_moment
0,-0.0500087145836759,0.144776158257703,0.00507634310086798,-0.1295086705257,-0.15958993843737,0.0774844806371036,0.0125880072186025,-0.0160384255067181,0.00128859888441471,-0.0755878103137274,-0.268568463508298,0.0832327413308159
0.005,-0.0496515811334442,0.144839032343519,0.00507079476476949,-0.129230638820587,-0.159210418779282,0.077464778235499,0.0128796176148597,-0.0158479730429109,0.00129697590465047,-0.0753050022956435,-0.268191185989821,0.0829502922227376
0.01,-0.0493033102467513,0.144897900921651,0.00506516345412525,-0.128959842757125,-0.158836390242217,0.0774450774595465,0.0131590868593497,-0.0156556149879584,0.00130436234115055,-0.0750375774587198,-0.267822930054039,0.0826742103543167
0.015,-0.0489683192910553,0.144950899577001,0.0050594580511618,-0.128700193385073,-0.158472643182563,0.0774254958102799,0.0134206497573092,-0.0154627768092706,0.00131045641718045,-0.0747918090353251,-0.267470049935721,0.0824082560109128
0.02,-0.0486506733373518,0.144996315904167,0.0050536938619117,-0.128455285132427,-0.158123720290419,0.0774061154402585,0.013659070050561,-0.0152709014635806,0.00131498046096062,-0.0745734010174201,-0.267138615310063,0.0821559939808244
0.025,-0.0483539697105739,0.145032643956535,0.00504789405410295,-0.128228291586445,-0.157793809967581,0.0773869807081505,0.0138698145518682,-0.0150814316746908,0.00131769200603172,-0.0743872914013767,-0.266834254855264,0.0819207024739793
0.03,-0.0480812375163968,0.145058631592756,0.00504209092113304,-0.128021876598775,-0.157486654412108,0.0773680976288731,0.0140491985979613,-0.0148957940568043,0.00131839426591376,-0.0742374819156766,-0.266562016584732,0.0817052905902932
0.035,-0.0478348558215332,0.145073318926605,0.00503632691156398,-0.127838124157538,-0.157205475660776,0.0773494353453842,0.0141944966756643,-0.0147153852906787,0.00131694559146919,-0.074126901175066,-0.266326249875435,0.0815122271040583
0.04,-0.047616493374382,0.145076066416603,0.00503065537364286,-0.127678489623586,-0.15695292202259,0.0773309296809356,0.0143040139522561,-0.0145415603506266,0.00131326754946666,-0.0740573066586931,-0.266130513122936,0.0813434828950155
0.045,-0.0474270718721409,0.145066571526249,0.00502514097611397,-0.127543773984962,-0.156731036416311,0.0773124887476472,0.0143771164501903,-0.0143756225611932,0.00130735130271849,-0.0740292291724386,-0.265977509810043,0.0812004888475012
0.05,-0.0472667538574377,0.145044873335653,0.00501985977926959,-0.127434121794439,-0.156541247149007,0.0772940004894586,0.0144142196126287,-0.0142188150570175,0.00129926202322822,-0.0740419616290274,-0.265869054542937,0.0810841104799812
0.055,-0.0471349554009489,0.145011344979728,0.00501489894304872,-0.127349042466142,-0.156384380687132,0.0772753419295828,0.0144167369033927,-0.0140723130554873,0.0012891411276268,-0.0740935921507695,-0.265806069341656,0.0809946399783857
0.06,-0.0470303828259874,0.14496667431146,0.00501035607134213,-0.127287453658735,-0.156260695021875,0.0772563897826904,0.0143869917962868,-0.0139372162543003,0.0012772061868021,-0.0741810797403182,-0.265788609224005,0.0809318057049985
0.065,-0.0469510918799705,0.144911833718039,0.00500633820285682,-0.127247744599293,-0.15616993135926,0.0772370319903243,0.0143280979824092,-0.013814540651266,0.0012637484275411,-0.0743003691333752,-0.265815914944377,0.0808947986563041
0.07,-0.0468945669768164,0.144848040522345,0.00500296046837916,-0.127227856434785,-0.156111381112943,0.0772171796548319,0.0142438138248123,-0.0137052091556791,0.00124912781215576,-0.0744465399941715,-0.265886489691272,0.0808823147652767
0.075,-0.0468578174446785,0.144776709845394,0.0050003444416357,-0.127225376065244,-0.156083964579453,0.0771967787909976,0.0141383779920744,-0.0136100405108401,0.00123376575168468,-0.0746139843848739,-0.265998195656518,0.0808926114053568
0.08,-0.0468374871373247,0.144699402148276,0.00499861621597559,-0.127237639438946,-0.15608631726157,0.0771758212910947,0.0140163337860179,-0.0135297362575969,0.00121813557863892,-0.0747966054741736,-0.266148365707045,0.0809235759758007
0.085,-0.0468299733271635,0.14461776788058,0.00499790424184873,-0.127261839995283,-0.156116879596212,0.0771543545100179,0.0138823499293795,-0.0134648657160062,0.00120275097549119,-0.0749880297819241,-0.266333924949103,0.0809728040522157
0.09,-0.0468315505129427,0.144533491713479,0.00499833696090057,-0.12729513783772,-0.156173985848273,0.0771324889208074,0.0137410454901571,-0.0134158492233267,0.00118815262390779,-0.0751818249094228,-0.266551516794322,0.0810376842902153
0.095,-0.0468384946589058,0.144448238723453,0.00500004027212436,-0.127334765309727,-0.156255948147599,0.0771104033630459,0.0135968261957657,-0.013382940122304,0.00117489340530359,-0.0753717146886846,-0.266797628219993,0.0811154870871975
0.1,-0.0468472034394257,0.144363604630311,0.00500313486480663,-0.127378124921995,-0.156361132055402,0.077088347501882,0.0134537386521615,-0.0133662062300591,0.00116352254337855,-0.0755517839925931,-0.267068709247744,0.0812034539429067
